idplayer;descCountry;idade;kills;deaths;KD
183;br;20;484;519;0.9326
2365;br;18;344;369;0.9322
1138;br;18;1037;1113;0.9317
1024;br;28;1196;1284;0.9315
2601;br;26;1957;2101;0.9315
519;br;22;5774;6202;0.9310
2644;cl;33;7971;8564;0.9308
147;br;32;5296;5691;0.9306
60;pe;15;660;710;0.9296
284;br;;726;781;0.9296
2251;br;21;2151;2315;0.9292
1172;br;21;2890;3111;0.9290
2358;br;21;2808;3023;0.9289
2265;br;27;2335;2514;0.9288
1841;br;23;521;561;0.9287
2184;br;31;976;1051;0.9286
1565;br;22;1141;1229;0.9284
1219;br;19;220;237;0.9283
520;br;29;4216;4544;0.9278
94;br;;422;455;0.9275
466;ar;;2035;2194;0.9275
624;br;24;921;993;0.9275
510;br;35;1865;2011;0.9274
1854;br;20;1315;1418;0.9274
2342;br;29;406;438;0.9269
1681;br;;556;600;0.9267
636;br;;628;678;0.9263
1398;br;15;2503;2703;0.9260
1582;cl;26;1011;1092;0.9258
2104;br;27;1473;1591;0.9258
1223;br;;274;296;0.9257
474;br;;4282;4627;0.9254
1355;br;24;2142;2315;0.9253
2154;br;28;825;892;0.9249
637;br;;4034;4362;0.9248
426;br;25;586;634;0.9243
327;br;;1728;1870;0.9241
1495;ar;20;146;158;0.9241
1986;ar;;158;171;0.9240
51;br;20;2003;2168;0.9239
1888;br;;2016;2182;0.9239
2699;br;27;6303;6822;0.9239
1280;br;;121;131;0.9237
2074;br;26;5435;5887;0.9232
2173;br;27;228;247;0.9231
2412;br;;2327;2521;0.9230
1723;br;;1046;1134;0.9224
454;us;21;3111;3375;0.9218
1501;br;;1824;1979;0.9217
1337;br;32;2737;2970;0.9215
2675;br;;1195;1297;0.9214
65;br;32;11097;12046;0.9212
1318;br;26;105;114;0.9211
1054;br;17;3476;3774;0.9210
2482;br;32;3249;3529;0.9207
1612;ar;;729;792;0.9205
1142;br;20;611;664;0.9202
2283;br;29;3769;4096;0.9202
1366;ar;28;403;438;0.9201
1562;ar;28;2419;2629;0.9201
353;br;;172;187;0.9198
2291;br;31;2938;3194;0.9198
1277;br;22;57;62;0.9194
80;br;22;2926;3183;0.9193
2288;br;28;3313;3604;0.9193
1464;cl;;79;86;0.9186
2163;br;23;1408;1533;0.9185
1575;br;28;867;944;0.9184
1715;br;;90;98;0.9184
948;ar;21;1568;1708;0.9180
405;cl;37;178;194;0.9175
194;ar;30;22;24;0.9167
762;ar;17;66;72;0.9167
901;br;28;1104;1205;0.9162
